"","partei","vanus","sugu","aastaid_koolis"
"1123","Reform",53,"M",15
"1124","Reform",41,"N",13
"1125","Reform",51,"N",15
"1126","Kesk",38,"N",16
"1135","Kesk",49,"N",11
"1138","Kesk",59,"N",17
"1139","Reform",50,"M",14
"1141","IRL",44,"N",11
"1144","Reform",40,"N",12
"1145","IRL",40,"N",12
"1146","IRL",58,"N",13
"1151","Reform",42,"M",11
"1153","Kesk",31,"N",14
"1155","Kesk",48,"N",12
"1157","Reform",52,"N",16
"1158","IRL",51,"M",13
"1159","Reform",58,"N",13
"1160","Reform",57,"N",13
"1168","Reform",58,"M",16
"1170","Reform",40,"M",11
"1171","Kesk",53,"N",15
"1172","Reform",37,"N",19
"1175","Reform",51,"M",12
"1176","IRL",39,"M",14
"1177","Reform",47,"N",15
"1178","Kesk",31,"M",13
"1181","Reform",34,"N",13
"1182","Reform",55,"N",12
"1191","Reform",39,"N",13
"1193","Kesk",32,"N",14
"1196","Reform",50,"N",13
"1199","Kesk",42,"N",10
"1200","Kesk",50,"M",12
"1205","Reform",39,"N",12
"1207","Kesk",49,"N",12
"1211","Reform",32,"M",19
"1213","Kesk",44,"M",14
"1214","IRL",52,"M",12
"1216","Reform",48,"N",11
"1221","Kesk",37,"N",12
"1222","Kesk",51,"N",14
"1223","Reform",56,"N",18
"1227","Reform",49,"N",13
"1230","Reform",63,"N",12
"1234","Reform",73,"N",11
"1236","IRL",71,"N",14
"1238","IRL",62,"N",11
"1239","Reform",62,"N",11
"1240","Reform",62,"N",14
"1243","Kesk",60,"N",13
"1245","Reform",62,"N",13
"1248","IRL",72,"N",11
"1249","Reform",86,"N",12
"1251","Kesk",66,"M",11
"1253","Kesk",69,"M",13
"1255","Reform",62,"N",14
"1256","Kesk",80,"N",13
"1260","Kesk",60,"N",13
"1263","Reform",73,"N",13
"1264","Kesk",79,"N",11
"1265","Kesk",77,"M",15
"1267","IRL",71,"N",13
"1268","Kesk",74,"N",18
"1269","Reform",68,"N",15
"1271","Reform",69,"N",14
"1272","Kesk",67,"N",11
"1274","Reform",73,"N",13
"1275","Reform",63,"N",15
"1278","IRL",68,"N",14
"1281","Kesk",62,"N",13
"1282","Reform",82,"N",12
"1283","Kesk",61,"M",12
"1284","Reform",66,"N",15
"1288","Reform",75,"M",11
"1290","Kesk",67,"N",13
"1293","Reform",69,"N",12
"1296","IRL",78,"N",14
"1298","Kesk",60,"N",11
"1300","Kesk",69,"N",12
"1302","Kesk",79,"N",11
"1305","Reform",64,"N",14
"1306","Kesk",73,"N",9
"1308","Kesk",27,"N",17
"1309","Reform",27,"N",16
"1310","Reform",26,"M",16
"1311","Reform",27,"N",18
"1313","IRL",29,"M",16
"1314","Reform",23,"M",17
"1316","Kesk",27,"M",17
"1317","Reform",29,"N",15
"1322","Reform",27,"M",17
"1324","Reform",25,"M",18
"1325","Reform",27,"M",16
"1329","IRL",24,"N",15
"1333","Reform",29,"M",15
"1335","Reform",23,"N",14
"1339","Reform",25,"M",15
"1341","Kesk",26,"M",17
"1342","Reform",27,"N",20
"1343","Kesk",23,"N",16
"1344","IRL",26,"M",16
"1345","Reform",26,"N",17
"1347","IRL",27,"M",16
"1349","IRL",28,"N",17
"1351","IRL",24,"N",15
"1355","Kesk",21,"M",14
"1359","Kesk",25,"N",16
"1360","Reform",24,"N",16
"1362","Reform",35,"N",17
"1365","IRL",48,"M",18
"1366","Reform",32,"N",20
"1367","IRL",47,"M",16
"1370","Kesk",55,"M",18
"1371","Kesk",47,"N",20
"1372","IRL",34,"N",22
"1374","IRL",48,"N",16
"1375","IRL",41,"M",16
"1376","Reform",50,"M",16
"1377","IRL",36,"N",17
"1378","Reform",47,"M",16
"1379","Kesk",39,"N",24
"1385","Kesk",59,"M",16
"1386","IRL",31,"N",16
"1391","Reform",47,"M",15
"1393","Kesk",58,"M",18
"1396","Kesk",45,"N",16
"1399","Reform",53,"N",15
"1401","IRL",33,"N",15
"1404","IRL",43,"M",16
"1405","Reform",50,"N",20
"1406","Reform",44,"M",17
"1407","Reform",56,"M",15
"1410","Reform",59,"N",21
"1412","Reform",36,"N",15
"1413","Reform",54,"M",17
"1415","Reform",42,"N",15
"1417","IRL",37,"N",17
"1418","Reform",58,"N",16
"1420","IRL",39,"M",20
"1424","Reform",32,"N",16
"1426","Reform",35,"N",15
"1427","Kesk",57,"N",15
"1428","Reform",31,"M",18
"1431","Kesk",51,"N",16
"1432","Kesk",49,"N",15
"1435","IRL",30,"M",21
"1437","IRL",48,"N",16
"1438","Reform",41,"N",18
"1440","Reform",55,"N",16
"1441","Kesk",31,"N",16
"1442","Reform",57,"M",17
"1444","Reform",33,"N",19
"1448","Reform",51,"N",17
"1449","IRL",52,"M",20
"1450","Reform",47,"N",16
"1454","IRL",34,"N",17
"1455","Reform",56,"N",16
"1457","IRL",36,"M",19
"1458","Reform",52,"N",14
"1459","Reform",45,"M",17
"1460","Reform",48,"M",14
"1461","Reform",39,"M",16
"1463","Kesk",54,"N",14
"1464","Reform",43,"N",14
"1465","Reform",47,"N",14
"1466","Reform",54,"M",18
"1468","IRL",30,"N",18
"1469","IRL",44,"N",16
"1470","Reform",48,"N",15
"1471","Reform",41,"N",15
"1472","Reform",34,"N",17
"1474","IRL",30,"N",16
"1475","Reform",40,"M",16
"1476","IRL",38,"N",24
"1477","Reform",54,"N",15
"1479","Reform",36,"N",16
"1480","Reform",59,"N",17
"1481","Reform",58,"N",16
"1482","Kesk",55,"M",21
"1483","Reform",48,"N",16
"1484","Reform",56,"N",15
"1485","IRL",39,"N",15
"1486","Reform",32,"N",20
"1488","Kesk",42,"N",20
"1489","Reform",50,"N",16
"1492","IRL",52,"N",16
"1496","Reform",37,"N",21
