"","vanus","N","E","O","A","C","valmidus"
"55",69.1720954820241,3.41666666666667,3,2.83333333333333,2.83333333333333,3.16666666666667,"pigem ei"
"56",57,3.33333333333333,3,3.16666666666667,2.58333333333333,3.16666666666667,"pigem ei"
"57",59,3.16666666666667,3,3.08333333333333,2.58333333333333,3.16666666666667,"pigem ei"
"58",70,3.16666666666667,3.16666666666667,2.83333333333333,2.75,3.16666666666667,"pigem ei"
"59",59.5525222561866,3.16666666666667,2.83333333333333,2.75,2.75,3.16666666666667,"pigem ei"
"60",72.4349724318995,3.08333333333333,3.58333333333333,3.25,3.33333333333333,3.16666666666667,"pigem ei"
"61",60,3.08333333333333,3.25,3,2.58333333333333,3.16666666666667,"pigem ei"
"62",54.9882267461024,3.08333333333333,2.83333333333333,2.83333333333333,3,3.16666666666667,"pigem ei"
"63",67,3.08333333333333,2.41666666666667,2.83333333333333,3,3.16666666666667,"pigem ei"
"64",68,3.08333333333333,3,2.75,3.33333333333333,3.16666666666667,"pigem ei"
"65",65.2531550090308,3.08333333333333,2.58333333333333,2.75,2.58333333333333,3.16666666666667,"pigem ei"
"66",64,3,3.08333333333333,3.08333333333333,2.66666666666667,3.16666666666667,"pigem ei"
"67",66.9718576686118,3,2.58333333333333,3.08333333333333,2.91666666666667,3.16666666666667,"pigem ei"
"68",70.9570467960166,3,2.5,3,3.25,3.16666666666667,"pigem ei"
"69",69.1174479968632,3,2.83333333333333,2.91666666666667,2.25,3.16666666666667,"pigem ei"
"70",67.456388025047,3,2.66666666666667,2.83333333333333,2.91666666666667,3.16666666666667,"pigem ei"
"71",61.4169839718584,3,2.5,2.66666666666667,3.08333333333333,3.16666666666667,"pigem ei"
"72",58.8828375766183,2.91666666666667,2.75,2.91666666666667,2.66666666666667,3.16666666666667,"pigem ei"
"73",65,2.91666666666667,3.16666666666667,2.75,2.66666666666667,3.16666666666667,"pigem ei"
"74",57,2.91666666666667,2.83333333333333,2.66666666666667,2.58333333333333,3.16666666666667,"pigem ei"
"75",65.8270242468255,2.83333333333333,3,3.16666666666667,3.08333333333333,3.16666666666667,"pigem ei"
"76",59,2.83333333333333,3,3,2.75,3.16666666666667,"pigem ei"
"77",67,3.41666666666667,3.08333333333333,2.83333333333333,3.25,3.08333333333333,"pigem ei"
"78",70,3.33333333333333,2.91666666666667,2.91666666666667,NA,3.08333333333333,"pigem ei"
"79",52.7775054560091,3.33333333333333,2.66666666666667,2.83333333333333,2.83333333333333,3.08333333333333,"pigem ei"
"80",73.3831890424286,3.16666666666667,3,2.91666666666667,2.75,3.08333333333333,"pigem ei"
"81",61,3.08333333333333,2.66666666666667,3.16666666666667,2.91666666666667,3.08333333333333,"pigem ei"
"82",72.8172624552158,3,2.91666666666667,3.5,3.08333333333333,3.08333333333333,"pigem ei"
"83",57,3,2.75,3.33333333333333,3.08333333333333,3.08333333333333,"pigem ei"
"84",66.3875108059655,2.91666666666667,3,3,3,3.08333333333333,"pigem ei"
"85",74.069832562294,2.91666666666667,2.75,2.75,2.58333333333333,3.08333333333333,"pigem ei"
"86",60,2.75,3.41666666666667,3.16666666666667,3.08333333333333,3.08333333333333,"pigem ei"
"87",55,2.66666666666667,3,3.08333333333333,3,3.08333333333333,"pigem ei"
"88",57,2.66666666666667,2.41666666666667,2.5,2.5,3.08333333333333,"pigem ei"
"89",59,2.58333333333333,2.83333333333333,2.66666666666667,3,3.08333333333333,"pigem ei"
"90",61.2474352343282,3.33333333333333,3,3.08333333333333,2.83333333333333,3,"pigem ei"
"91",60.7325902689279,3.33333333333333,2.75,2.66666666666667,3.16666666666667,3,"pigem ei"
"92",52,3.25,3,3.16666666666667,2.25,3,"pigem ei"
"93",61,3.25,3.08333333333333,2.75,2.83333333333333,3,"pigem ei"
"94",49.6637484496946,3.16666666666667,3,2.83333333333333,2.83333333333333,3,"pigem ei"
"95",56.3099187738365,3.16666666666667,2.58333333333333,2.66666666666667,3.08333333333333,3,"pigem ei"
"96",61,3,3,2.58333333333333,2.58333333333333,3,"pigem ei"
"97",67,2.91666666666667,3.08333333333333,2.75,3.33333333333333,3,"pigem ei"
"98",69,2.83333333333333,2.5,2.41666666666667,2.66666666666667,3,"pigem ei"
"99",56,2.66666666666667,3.25,3,2.75,3,"pigem ei"
"100",58,3.41666666666667,3,3.16666666666667,3.33333333333333,2.91666666666667,"pigem ei"
"101",67.7359553268598,3.41666666666667,2.91666666666667,2.91666666666667,2.58333333333333,2.91666666666667,"pigem ei"
"102",56,3.25,3.08333333333333,3.16666666666667,2.83333333333333,2.91666666666667,"pigem ei"
"103",64.6726701772511,3.25,3.33333333333333,3,2.5,2.91666666666667,"pigem ei"
"104",60.7566337792963,3.16666666666667,2.75,3,NA,2.91666666666667,"pigem ei"
"105",60,3.08333333333333,2.83333333333333,3.16666666666667,3,2.91666666666667,"pigem ei"
"106",63.0082076751381,3.08333333333333,2.66666666666667,2.91666666666667,2.33333333333333,2.91666666666667,"pigem ei"
"107",67.0394159926483,3.08333333333333,2.58333333333333,2.83333333333333,3.08333333333333,2.91666666666667,"pigem ei"
"108",60,3.08333333333333,3,2.75,3,2.91666666666667,"pigem ei"
"109",65.1119887477215,3,3.08333333333333,2.91666666666667,3,2.91666666666667,"pigem ei"
"110",68,3,2.83333333333333,2.58333333333333,2.91666666666667,2.91666666666667,"pigem ei"
"111",65.5927469299823,2.75,2.75,2.75,3,2.91666666666667,"pigem ei"
"112",55,3.41666666666667,2.83333333333333,2.66666666666667,2.91666666666667,2.83333333333333,"pigem ei"
"113",70,3.33333333333333,3.08333333333333,2.91666666666667,3.41666666666667,2.83333333333333,"pigem ei"
"114",64,3.25,2.33333333333333,2.75,3,2.83333333333333,"pigem ei"
"115",66.4304308051781,3.16666666666667,2.75,3,2.83333333333333,2.83333333333333,"pigem ei"
"116",69,3,3,3.25,2.66666666666667,2.83333333333333,"pigem ei"
